Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Vince Mayle,WR,74.0,224.0,4.67,35.5,0.0,117.0,6.93,4.13,1.0,123.0,2015.0,90.0,106.0,9.0,1483.0,14.0,0.0,0.0,0.0,0.0,0.0
Christion Jones,WR,70.0,182.0,4.63,32.5,8.0,119.0,6.91,4.19,0.0,0.0,2015.0,41.0,19.0,1.0,264.0,13.9,1.0,0.0,0.0,0.0,0.0
Tony Lippett,WR,74.0,192.0,4.61,36.0,10.0,114.0,6.92,4.13,1.0,156.0,2015.0,71.0,65.0,11.0,1198.0,18.4,2.0,32.0,1.0,51.0,25.5
Tyler Lockett,WR,70.0,182.0,4.4,35.5,0.0,121.0,6.89,4.07,1.0,69.0,2015.0,70.0,106.0,11.0,1515.0,14.3,3.0,9.0,0.0,17.0,5.7
Deon Long,WR,72.0,192.0,4.51,34.0,12.0,120.0,6.98,4.27,0.0,0.0,2015.0,50.0,51.0,2.0,575.0,11.3,1.0,9.0,0.0,9.0,9.0
Sammie Coates,WR,73.0,212.0,4.43,41.0,23.0,131.0,6.98,4.06,1.0,87.0,2015.0,68.0,34.0,4.0,741.0,21.8,0.0,0.0,0.0,0.0,0.0
Tevin Reese,WR,70.0,163.0,4.46,41.0,0.0,132.0,6.63,4.18,1.0,240.0,2014.0,93.0,38.0,8.0,867.0,22.8,0.0,0.0,0.0,0.0,0.0
Paul Richardson,WR,72.0,175.0,4.4,38.0,0.0,124.0,7.09,0.0,1.0,45.0,2014.0,82.0,83.0,10.0,1343.0,16.2,1.0,7.0,0.0,7.0,7.0
Allen Robinson,WR,75.0,220.0,4.6,39.0,0.0,127.0,7.0,4.0,1.0,61.0,2014.0,65.0,97.0,6.0,1432.0,14.8,6.0,14.0,0.0,36.0,6.0
Jalen Saunders,WR,69.0,165.0,4.44,34.0,0.0,122.0,0.0,0.0,1.0,104.0,2014.0,76.0,61.0,8.0,729.0,12.0,5.0,37.0,0.0,44.0,8.8
Willie Snead,WR,71.0,195.0,4.62,33.5,11.0,113.0,7.19,4.39,0.0,0.0,2014.0,55.0,106.0,15.0,1516.0,14.3,0.0,0.0,0.0,0.0,0.0
Kaelin Clay,WR,70.0,195.0,4.51,33.0,10.0,113.0,6.97,4.26,1.0,184.0,2015.0,78.0,43.0,4.0,523.0,12.2,4.0,3.0,0.0,4.0,1.0
Donte Moncrief,WR,74.0,221.0,4.4,39.5,13.0,132.0,7.02,4.3,1.0,90.0,2014.0,67.0,59.0,6.0,938.0,15.9,0.0,0.0,0.0,0.0,0.0
Kevin Norwood,WR,74.0,198.0,4.48,33.0,8.0,121.0,6.68,4.32,1.0,123.0,2014.0,50.0,38.0,7.0,568.0,14.9,0.0,0.0,0.0,0.0,0.0
Devin Street,WR,75.0,198.0,4.55,37.0,0.0,124.0,6.89,4.01,1.0,146.0,2014.0,67.0,51.0,7.0,854.0,16.7,3.0,3.0,0.0,6.0,2.0
Kenny Bell,WR,73.0,197.0,4.42,41.5,7.0,129.0,6.66,4.15,1.0,162.0,2015.0,73.0,47.0,6.0,788.0,16.8,0.0,0.0,0.0,0.0,0.0
Da'Ron Brown,WR,72.0,205.0,4.54,37.0,17.0,120.0,7.04,4.11,1.0,233.0,2015.0,64.0,68.0,6.0,1065.0,15.7,10.0,61.0,1.0,108.0,10.8
L'Damian Washington,WR,76.0,195.0,4.46,32.0,8.0,115.0,7.19,4.35,0.0,0.0,2014.0,96.0,50.0,10.0,893.0,17.9,0.0,0.0,0.0,0.0,0.0
Sammy Watkins,WR,73.0,211.0,4.43,34.0,16.0,126.0,6.95,4.34,1.0,4.0,2014.0,96.0,101.0,12.0,1464.0,14.5,6.0,3.0,0.0,11.0,1.8
Dres Anderson,WR,73.0,187.0,4.54,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2015.0,48.0,22.0,4.0,355.0,16.1,1.0,6.0,0.0,6.0,6.0
Albert Wilson,WR,69.0,202.0,4.43,37.5,10.0,123.0,7.0,4.21,0.0,0.0,2014.0,75.0,71.0,8.0,1177.0,16.6,24.0,80.0,1.0,251.0,10.5
Nelson Agholor,WR,72.0,198.0,4.42,0.0,12.0,0.0,0.0,0.0,1.0,20.0,2015.0,87.0,104.0,12.0,1313.0,12.6,4.0,4.0,0.0,3.0,0.8
Mario Alford,WR,68.0,180.0,4.43,34.0,13.0,121.0,6.64,4.07,1.0,238.0,2015.0,79.0,65.0,11.0,945.0,14.5,2.0,19.0,0.0,14.0,7.0
Cayleb Jones,WR,75.0,209.0,4.65,33.5,9.0,0.0,6.99,4.14,0.0,0.0,2016.0,78.0,55.0,5.0,904.0,16.4,0.0,0.0,0.0,0.0,0.0
Kenny Lawler,WR,74.0,203.0,4.64,31.0,0.0,111.0,7.13,4.2,1.0,243.0,2016.0,52.0,52.0,13.0,658.0,12.7,1.0,5.0,0.0,5.0,5.0
Roger Lewis,WR,72.0,201.0,4.57,33.5,8.0,116.0,0.0,0.0,0.0,0.0,2016.0,94.0,85.0,16.0,1544.0,18.2,0.0,0.0,0.0,0.0,0.0
Kolby Listenbee,WR,72.0,197.0,4.39,35.5,15.0,129.0,0.0,0.0,1.0,192.0,2016.0,60.0,30.0,5.0,597.0,19.9,1.0,11.0,0.0,11.0,11.0
Ricardo Louis,WR,74.0,215.0,4.43,38.0,18.0,132.0,0.0,0.0,1.0,114.0,2016.0,56.0,46.0,3.0,716.0,15.6,29.0,18.0,1.0,158.0,5.4
Rashard Higgins,WR,73.0,196.0,4.64,32.0,13.0,116.0,0.0,0.0,1.0,172.0,2016.0,46.0,75.0,8.0,1062.0,14.2,1.0,20.0,0.0,20.0,20.0
Johnny Holton,WR,73.0,190.0,4.54,31.5,8.0,123.0,0.0,0.0,0.0,0.0,2016.0,78.0,17.0,5.0,461.0,27.1,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,WR,73.0,203.0,4.59,34.5,0.0,123.0,6.77,4.19,1.0,126.0,2016.0,38.0,48.0,2.0,522.0,10.9,1.0,1.0,0.0,1.0,1.0
Alonzo Russell,WR,76.0,206.0,4.54,29.5,12.0,112.0,7.18,4.33,0.0,0.0,2016.0,51.0,36.0,5.0,618.0,17.2,0.0,0.0,0.0,0.0,0.0
Rashawn Scott,WR,73.0,199.0,4.54,32.5,17.0,116.0,0.0,0.0,0.0,0.0,2016.0,58.0,52.0,5.0,695.0,13.4,0.0,0.0,0.0,0.0,0.0
Hunter Sharp,WR,71.0,198.0,4.58,32.5,12.0,116.0,7.12,4.19,0.0,0.0,2016.0,49.0,71.0,9.0,835.0,11.8,8.0,8.0,0.0,20.0,2.5
Tajae Sharpe,WR,74.0,194.0,4.55,33.5,11.0,114.0,0.0,0.0,1.0,140.0,2016.0,49.0,111.0,5.0,1319.0,11.9,1.0,0.0,0.0,0.0,0.0
Sterling Shepard,WR,70.0,194.0,4.48,41.0,20.0,123.0,7.0,4.35,1.0,40.0,2016.0,74.0,86.0,11.0,1288.0,15.0,1.0,5.0,0.0,5.0,5.0
Nelson Spruce,WR,73.0,206.0,4.69,35.0,12.0,114.0,7.09,4.2,0.0,0.0,2016.0,50.0,89.0,4.0,1053.0,11.8,0.0,0.0,0.0,0.0,0.0
Byron Marshall,WR,69.0,201.0,4.42,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2016.0,25.0,9.0,2.0,121.0,13.4,0.0,0.0,0.0,0.0,0.0
Mekale McKay,WR,76.0,207.0,4.55,35.0,12.0,123.0,7.08,4.63,0.0,0.0,2016.0,88.0,27.0,2.0,507.0,18.8,0.0,0.0,0.0,0.0,0.0
Marquez North,WR,74.0,223.0,4.48,35.0,17.0,123.0,6.9,4.13,0.0,0.0,2016.0,16.0,6.0,0.0,58.0,9.7,0.0,0.0,0.0,0.0,0.0
Jordan Payton,WR,73.0,207.0,4.47,34.5,0.0,121.0,7.08,4.33,1.0,154.0,2016.0,59.0,78.0,5.0,1106.0,14.2,0.0,0.0,0.0,0.0,0.0
Charone Peake,WR,74.0,209.0,4.45,35.5,12.0,122.0,6.96,4.46,1.0,241.0,2016.0,64.0,50.0,5.0,716.0,14.3,0.0,0.0,0.0,0.0,0.0
Keyarris Garrett,WR,75.0,220.0,4.53,36.5,14.0,128.0,7.3,4.33,0.0,0.0,2016.0,50.0,96.0,8.0,1588.0,16.5,0.0,0.0,0.0,0.0,0.0
Geronimo Allison,WR,75.0,196.0,4.67,33.0,0.0,127.0,7.4,4.28,0.0,0.0,2016.0,53.0,65.0,3.0,882.0,13.6,0.0,0.0,0.0,0.0,0.0
Demarcus Ayers,WR,69.0,182.0,4.72,33.0,0.0,123.0,0.0,0.0,1.0,229.0,2016.0,67.0,98.0,6.0,1222.0,12.5,25.0,53.0,1.0,147.0,5.9
Tyler Boyd,WR,73.0,197.0,4.58,34.0,11.0,119.0,6.9,4.35,1.0,55.0,2016.0,51.0,91.0,6.0,926.0,10.2,40.0,37.0,0.0,349.0,8.7
D.J. Foster,WR,70.0,193.0,4.57,35.5,14.0,117.0,6.75,4.07,0.0,0.0,2016.0,33.0,59.0,3.0,584.0,9.9,55.0,63.0,1.0,280.0,5.1
Aaron Burbridge,WR,72.0,206.0,4.56,30.5,20.0,115.0,7.22,4.31,1.0,213.0,2016.0,56.0,85.0,7.0,1258.0,14.8,9.0,13.0,0.0,44.0,4.9
Bralon Addison,WR,69.0,197.0,4.66,34.5,13.0,116.0,6.95,4.14,0.0,0.0,2016.0,48.0,63.0,10.0,804.0,12.8,17.0,13.0,2.0,84.0,4.9
Devon Cajuste,WR,76.0,234.0,4.62,36.0,12.0,123.0,6.49,4.2,0.0,0.0,2016.0,42.0,27.0,3.0,383.0,14.2,0.0,0.0,0.0,0.0,0.0
DeAndre Smelter,WR,74.0,226.0,4.52,0.0,0.0,0.0,0.0,0.0,1.0,132.0,2015.0,71.0,35.0,7.0,715.0,20.4,3.0,75.0,1.0,103.0,34.3
Jaelen Strong,WR,74.0,217.0,4.44,42.0,0.0,123.0,0.0,0.0,1.0,70.0,2015.0,77.0,82.0,10.0,1165.0,14.2,0.0,0.0,0.0,0.0,0.0
Darren Waller,WR,78.0,238.0,4.46,37.0,12.0,125.0,7.07,4.25,1.0,204.0,2015.0,55.0,26.0,6.0,442.0,17.0,0.0,0.0,0.0,0.0,0.0
DeAndrew White,WR,71.0,193.0,4.44,34.5,0.0,118.0,6.97,4.18,0.0,0.0,2015.0,58.0,40.0,4.0,504.0,12.6,2.0,0.0,0.0,0.0,0.0
Cam Worthy,WR,74.0,211.0,4.59,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2015.0,53.0,55.0,4.0,1016.0,18.5,0.0,0.0,0.0,0.0,0.0
Josh Doctson,WR,74.0,202.0,4.5,41.0,14.0,131.0,6.84,4.08,1.0,22.0,2016.0,55.0,79.0,14.0,1327.0,16.8,1.0,6.0,0.0,6.0,6.0
Cody Core,WR,75.0,205.0,4.47,31.5,14.0,119.0,0.0,0.0,1.0,199.0,2016.0,73.0,37.0,4.0,644.0,17.4,1.0,1.0,0.0,1.0,1.0
Corey Coleman,WR,71.0,194.0,4.42,40.5,17.0,129.0,0.0,0.0,1.0,15.0,2016.0,81.0,74.0,20.0,1363.0,18.4,22.0,24.0,0.0,111.0,5.0
